method,filter_strategy,selected,train_count,source_count,synthetic_count,kept_count,rejected_count,target_normal_count,target_normal_fpr,anomaly_count,precision,recall,f1,anomaly_f1,auroc,auprc,adaptation_gain
source_only,,True,500,500,0,0,0,252,0.5992063492063492,234,0.3463203463203463,0.3418803418803419,0.34408602150537637,0.34408602150537637,0.3142043142043142,0.366095440846069,
source_plus_raw_synthetic,no_filter,True,1000,500,500,500,0,252,0.3055555555555556,234,0.18947368421052632,0.07692307692307693,0.10942249240121582,0.10942249240121582,0.3128985212318546,0.37458919527109213,0.2936507936507936
source_plus_tof_synthetic,no_filter,False,1000,500,500,500,0,252,0.3055555555555556,234,0.18947368421052632,0.07692307692307693,0.10942249240121582,0.10942249240121582,0.3128985212318546,0.37458919527109213,0.2936507936507936
source_plus_tof_synthetic,iqr_1.5,True,990,500,500,490,10,252,0.14285714285714285,234,0.42857142857142855,0.11538461538461539,0.18181818181818182,0.18181818181818182,0.3660120743454077,0.40728357546579186,0.45634920634920634
source_plus_tof_synthetic,iqr_3.0,False,990,500,500,490,10,252,0.14285714285714285,234,0.4098360655737705,0.10683760683760683,0.16949152542372883,0.16949152542372883,0.34737484737484736,0.39599021854616734,0.45634920634920634
source_plus_tof_synthetic,keep_top_80_percent_by_low_loss,False,892,500,500,392,108,252,0.38492063492063494,234,0.19834710743801653,0.10256410256410256,0.13521126760563382,0.13521126760563382,0.29332858499525166,0.3614123704112565,0.21428571428571425
source_plus_tof_synthetic,keep_top_90_percent_by_low_loss,False,941,500,500,441,59,252,0.39285714285714285,234,0.1885245901639344,0.09829059829059829,0.1292134831460674,0.1292134831460674,0.2969915886582553,0.3598069801671053,0.20634920634920634
source_plus_causal_tof_synthetic,tof_only,False,990,500,500,490,10,252,0.14285714285714285,234,0.42857142857142855,0.11538461538461539,0.18181818181818182,0.18181818181818182,0.3660120743454077,0.40728357546579186,0.45634920634920634
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,True,941,500,500,441,59,252,0.1388888888888889,234,0.4067796610169492,0.10256410256410256,0.16382252559726962,0.16382252559726962,0.35639668973002303,0.40382825157949165,0.4603174603174603
source_plus_causal_tof_synthetic,relaxed_causal_keep_95_percent,False,966,500,500,466,34,252,0.36507936507936506,234,0.22033898305084745,0.1111111111111111,0.1477272727272727,0.1477272727272727,0.3092694342694343,0.36864606772302316,0.23412698412698413
source_plus_causal_tof_synthetic,causal_filter_disabled,False,990,500,500,490,10,252,0.14285714285714285,234,0.42857142857142855,0.11538461538461539,0.18181818181818182,0.18181818181818182,0.3660120743454077,0.40728357546579186,0.45634920634920634
oracle_target,,True,752,752,0,0,0,252,0.08333333333333333,234,0.631578947368421,0.15384615384615385,0.24742268041237114,0.24742268041237114,0.6510819427486094,0.5825481901913431,0.5158730158730158
