method,filter_strategy,anomaly_type,anomaly_count,low_support,precision,recall,f1,auroc,auprc,mean_score_normal,mean_score_anomaly,score_margin
source_only,,SD_light_flickering,11,False,0.004608294930875576,0.18181818181818182,0.00898876404494382,0.04854545454545456,0.014946407659746414,4.73391256520072,1.1758509579369723,-3.558061607263748
source_only,,SD_camera_flickering,0,True,,,,,,4.73391256520072,,
source_only,,SD_tv_flickering,7,False,0.015945330296127564,1.0,0.03139013452914798,0.9531428571428571,0.1583136403826059,4.73391256520072,5.790874214918597,1.056961649717877
source_only,,MD_camera_off_while_lock,0,True,,,,,,4.73391256520072,,
source_only,,MD_window_open_while_lock,0,True,,,,,,4.73391256520072,,
source_only,,DM_window_open_midnight,0,True,,,,,,4.73391256520072,,
source_only,,DM_watervalve_open_midnight,0,True,,,,,,4.73391256520072,,
source_only,,DD_microwave_long_time,0,True,,,,,,4.73391256520072,,
source_plus_raw_synthetic,no_filter,SD_light_flickering,11,False,0.0,0.0,0.0,0.1052727272727273,0.016200568487599206,2.1970486532987317,-0.024222622487211864,-2.2212712757859436
source_plus_raw_synthetic,no_filter,SD_camera_flickering,0,True,,,,,,2.1970486532987317,,
source_plus_raw_synthetic,no_filter,SD_tv_flickering,7,False,0.04827586206896552,1.0,0.09210526315789473,0.8737142857142858,0.06615237249787975,2.1970486532987317,4.015748379757832,1.8186997264591
source_plus_raw_synthetic,no_filter,MD_camera_off_while_lock,0,True,,,,,,2.1970486532987317,,
source_plus_raw_synthetic,no_filter,MD_window_open_while_lock,0,True,,,,,,2.1970486532987317,,
source_plus_raw_synthetic,no_filter,DM_window_open_midnight,0,True,,,,,,2.1970486532987317,,
source_plus_raw_synthetic,no_filter,DM_watervalve_open_midnight,0,True,,,,,,2.1970486532987317,,
source_plus_raw_synthetic,no_filter,DD_microwave_long_time,0,True,,,,,,2.1970486532987317,,
source_plus_tof_synthetic,iqr_1.5,SD_light_flickering,11,False,0.0,0.0,0.0,0.10654545454545451,0.016222670964906274,2.8407867670537708,0.13159556440814202,-2.709191202645629
source_plus_tof_synthetic,iqr_1.5,SD_camera_flickering,0,True,,,,,,2.8407867670537708,,
source_plus_tof_synthetic,iqr_1.5,SD_tv_flickering,7,False,0.022653721682847898,1.0,0.04430379746835443,0.7937142857142857,0.04063410471634931,2.8407867670537708,3.9527628781147723,1.1119761110610016
source_plus_tof_synthetic,iqr_1.5,MD_camera_off_while_lock,0,True,,,,,,2.8407867670537708,,
source_plus_tof_synthetic,iqr_1.5,MD_window_open_while_lock,0,True,,,,,,2.8407867670537708,,
source_plus_tof_synthetic,iqr_1.5,DM_window_open_midnight,0,True,,,,,,2.8407867670537708,,
source_plus_tof_synthetic,iqr_1.5,DM_watervalve_open_midnight,0,True,,,,,,2.8407867670537708,,
source_plus_tof_synthetic,iqr_1.5,DD_microwave_long_time,0,True,,,,,,2.8407867670537708,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,SD_light_flickering,11,False,0.0,0.0,0.0,0.01836363636363638,0.014939198770830898,2.1083097181411077,0.019970856583351924,-2.0883388615577556
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,SD_camera_flickering,0,True,,,,,,2.1083097181411077,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,SD_tv_flickering,7,False,0.038461538461538464,1.0,0.07407407407407407,0.8814285714285715,0.069346675868415,2.1083097181411077,3.3054619108224776,1.19715219268137
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,MD_camera_off_while_lock,0,True,,,,,,2.1083097181411077,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,MD_window_open_while_lock,0,True,,,,,,2.1083097181411077,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,DM_window_open_midnight,0,True,,,,,,2.1083097181411077,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,DM_watervalve_open_midnight,0,True,,,,,,2.1083097181411077,,
source_plus_causal_tof_synthetic,relaxed_causal_keep_90_percent,DD_microwave_long_time,0,True,,,,,,2.1083097181411077,,
oracle_target,,SD_light_flickering,11,False,0.0,0.0,0.0,0.7536363636363637,0.058264093152844136,-0.2337387917531534,-0.2806505730558936,-0.04691178130274018
oracle_target,,SD_camera_flickering,0,True,,,,,,-0.2337387917531534,,
oracle_target,,SD_tv_flickering,7,False,0.0,0.0,0.0,0.9762857142857143,0.26324143692564744,-0.2337387917531534,1.3493298700284464,1.5830686617815999
oracle_target,,MD_camera_off_while_lock,0,True,,,,,,-0.2337387917531534,,
oracle_target,,MD_window_open_while_lock,0,True,,,,,,-0.2337387917531534,,
oracle_target,,DM_window_open_midnight,0,True,,,,,,-0.2337387917531534,,
oracle_target,,DM_watervalve_open_midnight,0,True,,,,,,-0.2337387917531534,,
oracle_target,,DD_microwave_long_time,0,True,,,,,,-0.2337387917531534,,
